testsuite,classname,name,priority,cve_number,failure_message
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2016-8743,MEDIUM,2016-8743,httpd: Apache HTTP Request Parsing Whitespace Defects
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-3167,MEDIUM,2017-3167,httpd: ap_get_basic_auth_pw() authentication bypass
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-3169,MEDIUM,2017-3169,httpd: mod_ssl NULL pointer dereference
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-7668,MEDIUM,2017-7668,httpd: ap_find_token() buffer overread
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-9788,MEDIUM,2017-9788,httpd: Uninitialized memory reflection in mod_auth_digest
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-9798,MEDIUM,2017-9798,httpd: Use-after-free by limiting unregistered HTTP method (Optionsbleed)
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2019-0217,MEDIUM,2019-0217,httpd: mod_auth_digest: access control bypass due to race condition
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2016-2161,LOW,2016-2161,httpd: DoS vulnerability in mod_auth_digest
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2016-4975,LOW,2016-4975,httpd: CRLF injection allowing HTTP response splitting attacks for sites which use mod_userdir
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2017-15710,LOW,2017-15710,httpd: Out of bounds write in mod_authnz_ldap when using too small Accept-Language values
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2017-15715,LOW,2017-15715,httpd: <FilesMatch> bypass with a trailing newline in the file name
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2017-7679,LOW,2017-7679,httpd: mod_mime buffer overread
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1283,LOW,2018-1283,httpd: Improper handling of headers in mod_session can allow a remote user to modify session data for CGI applications
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1301,LOW,2018-1301,httpd: Out of bounds access after failure in reading the HTTP request
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1303,LOW,2018-1303,httpd: Out of bounds read in mod_cache_socache can allow a remote attacker to cause DoS
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1312,LOW,2018-1312,httpd: Weak Digest auth nonce generation in mod_auth_digest
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2018-17199,LOW,2018-17199,httpd: mod_session_cookie does not respect expiry time
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[LOW] CVE-2019-0220,LOW,2019-0220,httpd: URL normalization inconsistency
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2016-0736,MEDIUM,2016-0736,httpd: Padding Oracle in Apache mod_session_crypto
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2016-5387,MEDIUM,2016-5387,Apache HTTPD: sets environmental variable based on user supplied Proxy request header
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2016-8743,MEDIUM,2016-8743,httpd: Apache HTTP Request Parsing Whitespace Defects
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-3167,MEDIUM,2017-3167,httpd: ap_get_basic_auth_pw() authentication bypass
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-3169,MEDIUM,2017-3169,httpd: mod_ssl NULL pointer dereference
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-7668,MEDIUM,2017-7668,httpd: ap_find_token() buffer overread
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-9788,MEDIUM,2017-9788,httpd: Uninitialized memory reflection in mod_auth_digest
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-9798,MEDIUM,2017-9798,httpd: Use-after-free by limiting unregistered HTTP method (Optionsbleed)
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2019-0217,MEDIUM,2019-0217,httpd: mod_auth_digest: access control bypass due to race condition
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2016-2161,LOW,2016-2161,httpd: DoS vulnerability in mod_auth_digest
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2016-4975,LOW,2016-4975,httpd: CRLF injection allowing HTTP response splitting attacks for sites which use mod_userdir
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2017-15710,LOW,2017-15710,httpd: Out of bounds write in mod_authnz_ldap when using too small Accept-Language values
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2017-15715,LOW,2017-15715,httpd: <FilesMatch> bypass with a trailing newline in the file name
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2017-7679,LOW,2017-7679,httpd: mod_mime buffer overread
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1283,LOW,2018-1283,httpd: Improper handling of headers in mod_session can allow a remote user to modify session data for CGI applications
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1301,LOW,2018-1301,httpd: Out of bounds access after failure in reading the HTTP request
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1303,LOW,2018-1303,httpd: Out of bounds read in mod_cache_socache can allow a remote attacker to cause DoS
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1312,LOW,2018-1312,httpd: Weak Digest auth nonce generation in mod_auth_digest
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2018-17199,LOW,2018-17199,httpd: mod_session_cookie does not respect expiry time
hackersploit/bwapp-docker (ubuntu 14.04),apache2-data-2.4.7-1ubuntu4.9,[LOW] CVE-2019-0220,LOW,2019-0220,httpd: URL normalization inconsistency
hackersploit/bwapp-docker (ubuntu 14.04),apt-1.0.1ubuntu2.10,[HIGH] CVE-2016-1252,HIGH,2016-1252,"The apt package in Debian jessie before 1.0.9.8.4, in Debian unstable  ..."
hackersploit/bwapp-docker (ubuntu 14.04),apt-1.0.1ubuntu2.10,[HIGH] CVE-2019-3462,HIGH,2019-3462,Incorrect sanitation of the 302 redirect field in HTTP transport metho ...
hackersploit/bwapp-docker (ubuntu 14.04),apt-utils-1.0.1ubuntu2.10,[HIGH] CVE-2016-1252,HIGH,2016-1252,"The apt package in Debian jessie before 1.0.9.8.4, in Debian unstable  ..."
hackersploit/bwapp-docker (ubuntu 14.04),apt-utils-1.0.1ubuntu2.10,[HIGH] CVE-2019-3462,HIGH,2019-3462,Incorrect sanitation of the 302 redirect field in HTTP transport metho ...
hackersploit/bwapp-docker (ubuntu 14.04),bash-4.3-7ubuntu1.5,[MEDIUM] CVE-2016-7543,MEDIUM,2016-7543,bash: Specially crafted SHELLOPTS+PS4 variables allows command substitution
hackersploit/bwapp-docker (ubuntu 14.04),bash-4.3-7ubuntu1.5,[LOW] CVE-2016-0634,LOW,2016-0634,bash: Arbitrary code execution via malicious hostname
hackersploit/bwapp-docker (ubuntu 14.04),bash-4.3-7ubuntu1.5,[LOW] CVE-2016-9401,LOW,2016-9401,bash: popd controlled free
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[MEDIUM] CVE-2015-9261,MEDIUM,2015-9261,busybox: Segmentation fault when unzipping specially crafted zip file
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[MEDIUM] CVE-2017-16544,MEDIUM,2017-16544,busybox: Insufficient sanitization of filenames when autocompleting
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[MEDIUM] CVE-2018-1000517,MEDIUM,2018-1000517,busybox: wget: Heap-based buffer overflow in the retrieve_file_data() function
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[MEDIUM] CVE-2019-5747,MEDIUM,2019-5747,busybox: Out of bounds read in udhcp components resulting in information disclosure
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[LOW] CVE-2011-5325,LOW,2011-5325,busybox: Path traversal via crafted tar file containing symlink
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[LOW] CVE-2014-9645,LOW,2014-9645,busybox: unprivileged arbitrary module load via basename abuse
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[LOW] CVE-2016-2147,LOW,2016-2147,busybox: out of bounds write (heap) due to integer underflow in udhcpc
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[LOW] CVE-2016-2148,LOW,2016-2148,busybox: heap-based buffer overflow in OPTION_6RD parsing
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[LOW] CVE-2017-15873,LOW,2017-15873,busybox: Integer overflow in the get_next_block function
hackersploit/bwapp-docker (ubuntu 14.04),busybox-initramfs-1:1.21.0-1ubuntu1,[LOW] CVE-2018-20679,LOW,2018-20679,busybox: Out of bounds read in udhcp components resulting in information disclosure
hackersploit/bwapp-docker (ubuntu 14.04),cpio-2.11+dfsg-1ubuntu1.1,[MEDIUM] CVE-2016-2037,MEDIUM,2016-2037,cpio: out of bounds write
hackersploit/bwapp-docker (ubuntu 14.04),cpio-2.11+dfsg-1ubuntu1.1,[LOW] CVE-2015-1197,LOW,2015-1197,cpio: directory traversal through symlinks
hackersploit/bwapp-docker (ubuntu 14.04),eject-2.1.5+deb1+cvs20081104-13.1,[MEDIUM] CVE-2017-6964,MEDIUM,2017-6964,"dmcrypt-get-device, as shipped in the eject package of Debian and Ubun ..."
hackersploit/bwapp-docker (ubuntu 14.04),file-1:5.14-2ubuntu3.3,[LOW] CVE-2014-9620,LOW,2014-9620,file: limit the number of ELF notes processed
hackersploit/bwapp-docker (ubuntu 14.04),file-1:5.14-2ubuntu3.3,[LOW] CVE-2014-9621,LOW,2014-9621,file: limit string printing to 100 chars
hackersploit/bwapp-docker (ubuntu 14.04),file-1:5.14-2ubuntu3.3,[LOW] CVE-2014-9653,LOW,2014-9653,file: malformed elf file causes access to uninitialized memory
hackersploit/bwapp-docker (ubuntu 14.04),file-1:5.14-2ubuntu3.3,[LOW] CVE-2015-8865,LOW,2015-8865,file: Buffer over-write in finfo_open with malformed magic file
hackersploit/bwapp-docker (ubuntu 14.04),file-1:5.14-2ubuntu3.3,[LOW] CVE-2018-10360,LOW,2018-10360,file: out-of-bounds read via a crafted ELF file
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[HIGH] CVE-2016-2315,HIGH,2016-2315,git: path_name() integer truncation and overflow leading to buffer overflow
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[HIGH] CVE-2018-11235,HIGH,2018-11235,git: arbitrary code execution when recursively cloning a malicious repository
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2014-9938,MEDIUM,2014-9938,git: git-prompt.sh does not sanitize branch names in $PS1
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2016-2324,MEDIUM,2016-2324,git: path_name() integer truncation and overflow leading to buffer overflow
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2017-1000117,MEDIUM,2017-1000117,git: Command injection via malicious ssh URLs
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2017-14867,MEDIUM,2017-14867,git: cvsserver command injection
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2017-8386,MEDIUM,2017-8386,git: Escape out of git-shell
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2018-17456,MEDIUM,2018-17456,git: arbitrary code execution via .gitmodules
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[LOW] CVE-2017-15298,LOW,2017-15298,git: Mishandling layers of tree objects
hackersploit/bwapp-docker (ubuntu 14.04),git-1:1.9.1-1ubuntu0.2,[LOW] CVE-2018-11233,LOW,2018-11233,git: path sanity check in is_ntfs_dotgit() can read arbitrary memory
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[HIGH] CVE-2016-2315,HIGH,2016-2315,git: path_name() integer truncation and overflow leading to buffer overflow
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[HIGH] CVE-2018-11235,HIGH,2018-11235,git: arbitrary code execution when recursively cloning a malicious repository
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2014-9938,MEDIUM,2014-9938,git: git-prompt.sh does not sanitize branch names in $PS1
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2016-2324,MEDIUM,2016-2324,git: path_name() integer truncation and overflow leading to buffer overflow
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2017-1000117,MEDIUM,2017-1000117,git: Command injection via malicious ssh URLs
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2017-14867,MEDIUM,2017-14867,git: cvsserver command injection
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2017-8386,MEDIUM,2017-8386,git: Escape out of git-shell
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[MEDIUM] CVE-2018-17456,MEDIUM,2018-17456,git: arbitrary code execution via .gitmodules
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[LOW] CVE-2017-15298,LOW,2017-15298,git: Mishandling layers of tree objects
hackersploit/bwapp-docker (ubuntu 14.04),git-man-1:1.9.1-1ubuntu0.2,[LOW] CVE-2018-11233,LOW,2018-11233,git: path sanity check in is_ntfs_dotgit() can read arbitrary memory
hackersploit/bwapp-docker (ubuntu 14.04),gnupg-1.4.16-1ubuntu2.3,[HIGH] CVE-2016-6313,HIGH,2016-6313,libgcrypt: PRNG output is predictable
hackersploit/bwapp-docker (ubuntu 14.04),gnupg-1.4.16-1ubuntu2.3,[MEDIUM] CVE-2017-7526,MEDIUM,2017-7526,libgcrypt: Use of left-to-right sliding window method allows full RSA key recovery
hackersploit/bwapp-docker (ubuntu 14.04),gnupg-1.4.16-1ubuntu2.3,[MEDIUM] CVE-2018-12020,MEDIUM,2018-12020,gnupg2: Improper sanitization of filenames allows for the display of fake status messages and the bypass of signature verification
hackersploit/bwapp-docker (ubuntu 14.04),gpgv-1.4.16-1ubuntu2.3,[HIGH] CVE-2016-6313,HIGH,2016-6313,libgcrypt: PRNG output is predictable
hackersploit/bwapp-docker (ubuntu 14.04),gpgv-1.4.16-1ubuntu2.3,[MEDIUM] CVE-2017-7526,MEDIUM,2017-7526,libgcrypt: Use of left-to-right sliding window method allows full RSA key recovery
hackersploit/bwapp-docker (ubuntu 14.04),gpgv-1.4.16-1ubuntu2.3,[MEDIUM] CVE-2018-12020,MEDIUM,2018-12020,gnupg2: Improper sanitization of filenames allows for the display of fake status messages and the bypass of signature verification
hackersploit/bwapp-docker (ubuntu 14.04),isc-dhcp-client-4.2.4-7ubuntu12.4,[MEDIUM] CVE-2018-5732,MEDIUM,2018-5732,dhcp: Buffer overflow in dhclient possibly allowing code execution triggered by malicious server
hackersploit/bwapp-docker (ubuntu 14.04),isc-dhcp-client-4.2.4-7ubuntu12.4,[MEDIUM] CVE-2018-5733,MEDIUM,2018-5733,dhcp: Reference count overflow in dhcpd allows denial of service
hackersploit/bwapp-docker (ubuntu 14.04),isc-dhcp-client-4.2.4-7ubuntu12.4,[LOW] CVE-2016-2774,LOW,2016-2774,dhcp: unclosed TCP connections to OMAPI or failover ports can cause DoS
hackersploit/bwapp-docker (ubuntu 14.04),isc-dhcp-client-4.2.4-7ubuntu12.4,[LOW] CVE-2017-3144,LOW,2017-3144,dhcp: omapi code doesn't free socket descriptors when empty message is received allowing denial-of-service
hackersploit/bwapp-docker (ubuntu 14.04),isc-dhcp-common-4.2.4-7ubuntu12.4,[MEDIUM] CVE-2018-5732,MEDIUM,2018-5732,dhcp: Buffer overflow in dhclient possibly allowing code execution triggered by malicious server
hackersploit/bwapp-docker (ubuntu 14.04),isc-dhcp-common-4.2.4-7ubuntu12.4,[MEDIUM] CVE-2018-5733,MEDIUM,2018-5733,dhcp: Reference count overflow in dhcpd allows denial of service
hackersploit/bwapp-docker (ubuntu 14.04),isc-dhcp-common-4.2.4-7ubuntu12.4,[LOW] CVE-2016-2774,LOW,2016-2774,dhcp: unclosed TCP connections to OMAPI or failover ports can cause DoS
hackersploit/bwapp-docker (ubuntu 14.04),isc-dhcp-common-4.2.4-7ubuntu12.4,[LOW] CVE-2017-3144,LOW,2017-3144,dhcp: omapi code doesn't free socket descriptors when empty message is received allowing denial-of-service
hackersploit/bwapp-docker (ubuntu 14.04),krb5-locales-1.12+dfsg-2ubuntu5.2,[MEDIUM] CVE-2015-8629,MEDIUM,2015-8629,krb5: xdr_nullstring() doesn't check for terminating null character
hackersploit/bwapp-docker (ubuntu 14.04),krb5-locales-1.12+dfsg-2ubuntu5.2,[MEDIUM] CVE-2015-8630,MEDIUM,2015-8630,krb5: krb5 doesn't check for null policy when KADM5_POLICY is set in the mask
hackersploit/bwapp-docker (ubuntu 14.04),krb5-locales-1.12+dfsg-2ubuntu5.2,[MEDIUM] CVE-2015-8631,MEDIUM,2015-8631,krb5: Memory leak caused by supplying a null principal name in request
hackersploit/bwapp-docker (ubuntu 14.04),krb5-locales-1.12+dfsg-2ubuntu5.2,[MEDIUM] CVE-2016-3119,MEDIUM,2016-3119,krb5: null pointer dereference in kadmin
hackersploit/bwapp-docker (ubuntu 14.04),krb5-locales-1.12+dfsg-2ubuntu5.2,[MEDIUM] CVE-2016-3120,MEDIUM,2016-3120,krb5: S4U2Self KDC crash when anon is restricted
hackersploit/bwapp-docker (ubuntu 14.04),krb5-locales-1.12+dfsg-2ubuntu5.2,[MEDIUM] CVE-2017-11368,MEDIUM,2017-11368,krb5: Invalid S4U2Self or S4U2Proxy request causes assertion failure
hackersploit/bwapp-docker (ubuntu 14.04),krb5-locales-1.12+dfsg-2ubuntu5.2,[LOW] CVE-2017-11462,LOW,2017-11462,krb5: Automatic sec context deletion could lead to double-free
hackersploit/bwapp-docker (ubuntu 14.04),krb5-locales-1.12+dfsg-2ubuntu5.2,[LOW] CVE-2018-5729,LOW,2018-5729,krb5: null dereference in kadmind or DN container check bypass by supplying special crafted data
hackersploit/bwapp-docker (ubuntu 14.04),krb5-locales-1.12+dfsg-2ubuntu5.2,[LOW] CVE-2018-5730,LOW,2018-5730,krb5: DN container check bypass by supplying special crafted data
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2015-8835,MEDIUM,2015-8835,php: type confusion issue in Soap Client call() method
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2015-8838,MEDIUM,2015-8838,php: mysqlnd interface vulnerable to BACKRONYM
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2015-8866,MEDIUM,2015-8866,php: libxml_disable_entity_loader setting is shared between threads
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2015-8867,MEDIUM,2015-8867,php: openssl_random_pseudo_bytes() is not cryptographically secure
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2015-8876,MEDIUM,2015-8876,php: Zend/zend_exceptions.c does not validate certain Exception objects
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2015-8935,MEDIUM,2015-8935,php: HTTP response splitting in header() function
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2016-10160,MEDIUM,2016-10160,php: Off-by-one error in phar_parse_pharfile when loading crafted phar archive
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2016-10397,MEDIUM,2016-10397,php: Incorrect handling of URI components in URL parser
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2016-2554,MEDIUM,2016-2554,php: buffer overflow in handling of long link names in tar phar archives
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2016-3141,MEDIUM,2016-3141,php: Use after free in WDDX Deserialize when processing XML data
hackersploit/bwapp-docker (ubuntu 14.04),libapache2-mod-php5-5.5.9+dfsg-1ubuntu4.14,[MEDIUM] CVE-2016-3185,MEDIUM,2016-3185,php: Type confusion vulnerability in make_http_soap_request()
